"ActionScript","actionscript","actionscript3"
"ActionScript 3","actionscript-3","actionscript3"
"Apache","apache","apache"
"AppleScript","applescript","applescript"
"ASP","asp","asp"
"Assembler","assembler","asm"
"AutoIt","autoit","autoit"
"Awk","awk","awk"
"Bash","bash","bash"
"C","c","c"
"C++","c-plus-plus","cpp"
"C#","c-sharp","csharp"
"Clojure","clojure","clojure"
"ColdFusion","cold-fusion","coldfusion"
"CSS","css","css"
"Delphi","delphi","delphi"
"Diff","diff","diff"
"Django","django","django"
"DOS Batch","dos","batch"
"Emacs Lisp","emacs-lisp","lisp"
"eZ Publish","ez-publish","text"
"Forth","forth","text"
"Fortran","fortran","fortran"
"Gnuplot","gnuplot","text"
"Groovy","groovy","groovy"
"HAML","haml","haml"
"Haskell","haskell","haskell"
"HTML","html","html5"
"iPhone","iphone","objc"
"Java","java","java"
"JavaScript","javascript","javascript"
"jQuery","jquery","javascript"
"LaTeX","latex","latex"
"lighttpd","lighttpd","text"
"Lisp","lisp","clojure"
"Lua","lua","lua"
"Makefile","make","make"
"MatLab","matlab","matlab"
"Maxscript","maxscript","text"
"Mel","mel","text"
"MXML","mxml","xml"
"MySQL","mysql","mysql"
"NewtonScript","newtonscript","text"
"Objective C","objective-c","objc"
"Open Firmware","open-firmware","text"
"Other","other","text"
"Pascal","pascal","pascal"
"Perl","perl","perl"
"PHP","php","php"
"PicBasic","picbasic","basic"
"PL/SQL","plsql","plsql"
"Processing","processing","text"
"Prolog","prolog","prolog"
"Pseudocode","pseudocode","text"
"Python","python","python"
"R","r","text"
"Rails","rails","ruby"
"Regular Expression","regex","text"
"Revolution","revolution","text"
"Ruby","ruby","ruby"
"SAS","sas","sas"
"SASS","sass","sas"
"Scala","scala","scala"
"Scheme","scheme","scheme"
"SmallTalk","smalltalk","smalltalk"
"Smarty","smarty","smarty"
"SML","sml","text"
"SPSS","spss","text"
"SQL","sql","sql"
"SVN","svn","svn"
"Symfony","symfony","php"
"TCL","tcl","tcl"
"Textpattern","textpattern","text"
"TYPO3","typo3","php"
"VB.NET","vbnet","vbnet"
"VHDL","vhdl","vhdl"
"Visual Basic","visual-basic","vb"
"W-Language","w-language","text"
"Windows PowerShell","windows-powershell","powershell"
"Windows Registry","windows-registry","reg"
"XHTML","xhtml","html5"
"XML","xml","xml"
"XSLT","xslt","xml"
"Android SDK","android-sdk","java"
"Falcon","falcon","falcon"
"Ada","ada","ada"
"VIM","vim","vim"
